id,question,answer,source_url
94,Who will know that I’ve seen a counsellor?,"The receptionist who sets up the appointment and checks you in will be aware you have sought counselling. Counsellors adhere to a code of ethics that includes confidentiality. We will not discuss your attendance or the content of our meetings with anyone else without your permission unless required to do so by law. If you have any concerns, please discuss them with your counsellor in the first session. More details on our confidentiality policy can be found on the counselling home page .",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
95,Phone,General 604 527 5400 International 604 527 5650 Enrolment Services 604 527 5478,https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
96,Campuses,"New Westminster 700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map Coquitlam 1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
97,New Westminster,"700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
98,Coquitlam,"1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
99,Quicklinks,Careers at Douglas DC Connect Faculty Directory Media Strategic Plan,https://www.douglascollege.ca/student-services/student-support/counselling/counselling-faq
100,"If a student has to stay home (flu symptoms, for example), what are the strategies to support remote learning?","It is expected that we may have higher than normal absenteeism this semester, particularly in the first few weeks of classes. Instructors will do their best to be understanding of students’ situations. Any resources or supplemental information that can be shared via Blackboard or other means may be available to students who have to miss class due to illness or isolation requirements. Remember that decisions regarding attendance are the discretion of individual instructors, and faculty are encouraged to be reasonable when dealing with absences. Students continue to have the responsibility to communicate when illness impacts their ability to meet the requirements of a class. These are further resources in case you miss a class.",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
101,"If I am sick, are there alternatives to attend class/take exams online?","Decision regarding attendance is the discretion of individual instructors, and faculty are encouraged to be reasonable when dealing with absences. Students continue to have the responsibility to communicate when illness impacts their ability to meet the requirements of a class. It is expected that we may have higher than normal absenteeism this semester, particularly in the first few weeks of classes. Instructors will do their best to be understanding of students’ situations. Any resources or supplemental information that can be shared via Blackboard or other means may be available to students who have to miss class due to illness or isolation requirements. Remember that decisions regarding attendance are the discretion of individual instructors, and faculty are encouraged to be reasonable when dealing with absences. Students continue to have the responsibility to communicate when illness impacts their ability to meet the requirements of a class. These are further resources in case you miss a class.",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
102,Will there be more options for online learning moving forward if I want to delay my return to campus or have moved outside the Lower Mainland?,"While Douglas College is returning to primarily in-person learning and service delivery model, the proportion of online classes is much higher than before the pandemic.",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
103,Will I be able to access online classes / recordings if I am unable to attend an in-person class?,"Not necessarily. Students should not have the expectation that alternative learning resources will be available for in-person courses if they're unable to attend class. If you're sick, speak with your instructor.",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
104,Can an ill student ask a classmate to audio/video record a class for them?,"No, recording a class is not permitted without prior authorization by the instructor and must follow the privacy policy of the College.",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
105,Phone,General 604 527 5400 International 604 527 5650 Enrolment Services 604 527 5478,https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
106,Campuses,"New Westminster 700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map Coquitlam 1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
107,New Westminster,"700 Royal Avenue New Westminster, B.C. V3M 5Z5 View map",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
108,Coquitlam,"1250 Pinetree Way Coquitlam, B.C. V3B 7X3 View map",https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
109,Quicklinks,Careers at Douglas DC Connect Faculty Directory Media Strategic Plan,https://www.douglascollege.ca/student-services/student-resources/covid19/academic-faqs
